city,country,iso2,population,lat,lon,gni_ppp_year,gni_ppp,gni_usd_year,gni_usd,income_index
Chongqing,People's Republic of China,CN,32054159,29.55,106.506944444,2024,26920.0,2024,13660.0,1.0
Chongqing,People's Republic of China,CN,32054159,29.55,106.506944444,2024,26920.0,2024,13660.0,1.0
Delhi,India,IN,26495000,28.666666666,77.216666666,2024,11000.0,2024,2650.0,0.4086181277860327
Delhi,India,IN,26495000,28.666666666,77.216666666,2024,11000.0,2024,2650.0,0.4086181277860327
Delhi,India,IN,26495000,28.666666666,77.216666666,2024,11000.0,2024,2650.0,0.4086181277860327
Delhi,India,IN,26495000,28.666666666,77.216666666,2024,11000.0,2024,2650.0,0.4086181277860327
Shanghai,People's Republic of China,CN,24870895,31.232222222,121.469166666,2024,26920.0,2024,13660.0,1.0
Shanghai,People's Republic of China,CN,24870895,31.232222222,121.469166666,2024,26920.0,2024,13660.0,1.0
Shanghai,People's Republic of China,CN,24870895,31.232222222,121.469166666,2024,26920.0,2024,13660.0,1.0
Shanghai,People's Republic of China,CN,24870895,31.232222222,121.469166666,2024,26920.0,2024,13660.0,1.0
Shanghai,People's Republic of China,CN,24870895,31.232222222,121.469166666,2024,26920.0,2024,13660.0,1.0
Shanghai,People's Republic of China,CN,24870895,31.232222222,121.469166666,2024,26920.0,2024,13660.0,1.0
Shanghai,People's Republic of China,CN,24870895,31.232222222,121.469166666,2024,26920.0,2024,13660.0,1.0
Shanghai,People's Republic of China,CN,24870895,31.232222222,121.469166666,2024,26920.0,2024,13660.0,1.0
Greater Mexico City,Mexico,MX,21905000,19.432519444,-99.133158333,2024,24920.0,2024,12800.0,0.9257057949479941
Beijing,People's Republic of China,CN,21893095,39.90403,116.407526,2024,26920.0,2024,13660.0,1.0
Chengdu,People's Republic of China,CN,20937757,30.66,104.063333333,2024,26920.0,2024,13660.0,1.0
Chengdu,People's Republic of China,CN,20937757,30.66,104.063333333,2024,26920.0,2024,13660.0,1.0
Chengdu,People's Republic of China,CN,20937757,30.66,104.063333333,2024,26920.0,2024,13660.0,1.0
Chengdu,People's Republic of China,CN,20937757,30.66,104.063333333,2024,26920.0,2024,13660.0,1.0
Chengdu,People's Republic of China,CN,20937757,30.66,104.063333333,2024,26920.0,2024,13660.0,1.0
New York metropolitan area,United States,US,19940274,40.808611111,-74.020277777,2024,85980.0,2024,83660.0,3.1939078751857357
Guangzhou,People's Republic of China,CN,18676605,23.13,113.26,2024,26920.0,2024,13660.0,1.0
Guangzhou,People's Republic of China,CN,18676605,23.13,113.26,2024,26920.0,2024,13660.0,1.0
Guangzhou,People's Republic of China,CN,18676605,23.13,113.26,2024,26920.0,2024,13660.0,1.0
Guangzhou,People's Republic of China,CN,18676605,23.13,113.26,2024,26920.0,2024,13660.0,1.0
Guangzhou,People's Republic of China,CN,18676605,23.13,113.26,2024,26920.0,2024,13660.0,1.0
Shenzhen,People's Republic of China,CN,17494398,22.535,114.054,2024,26920.0,2024,13660.0,1.0
Shenzhen,People's Republic of China,CN,17494398,22.535,114.054,2024,26920.0,2024,13660.0,1.0
Shenzhen,People's Republic of China,CN,17494398,22.535,114.054,2024,26920.0,2024,13660.0,1.0
Shenzhen,People's Republic of China,CN,17494398,22.535,114.054,2024,26920.0,2024,13660.0,1.0
Shenzhen,People's Republic of China,CN,17494398,22.535,114.054,2024,26920.0,2024,13660.0,1.0
Shenzhen,People's Republic of China,CN,17494398,22.535,114.054,2024,26920.0,2024,13660.0,1.0
Shenzhen,People's Republic of China,CN,17494398,22.535,114.054,2024,26920.0,2024,13660.0,1.0
Dhaka,Bangladesh,BD,16800000,23.728888888,90.394444444,2024,10060.0,2024,2820.0,0.3736998514115899
Dhaka,Bangladesh,BD,16800000,23.728888888,90.394444444,2024,10060.0,2024,2820.0,0.3736998514115899
Dhaka,Bangladesh,BD,16800000,23.728888888,90.394444444,2024,10060.0,2024,2820.0,0.3736998514115899
Dhaka,Bangladesh,BD,16800000,23.728888888,90.394444444,2024,10060.0,2024,2820.0,0.3736998514115899
Dhaka,Bangladesh,BD,16800000,23.728888888,90.394444444,2024,10060.0,2024,2820.0,0.3736998514115899
Istanbul,Turkey,TR,15655924,41.01,28.960277777,2024,43410.0,2024,13150.0,1.612555720653789
Istanbul,Turkey,TR,15655924,41.01,28.960277777,2024,43410.0,2024,13150.0,1.612555720653789
Istanbul,Turkey,TR,15655924,41.01,28.960277777,2024,43410.0,2024,13150.0,1.612555720653789
Istanbul,Turkey,TR,15655924,41.01,28.960277777,2024,43410.0,2024,13150.0,1.612555720653789
Istanbul,Turkey,TR,15655924,41.01,28.960277777,2024,43410.0,2024,13150.0,1.612555720653789
Istanbul,Turkey,TR,15655924,41.01,28.960277777,2024,43410.0,2024,13150.0,1.612555720653789
Mumbai,India,IN,15414288,19.075833333,72.8775,2024,11000.0,2024,2650.0,0.4086181277860327
Mumbai,India,IN,15414288,19.075833333,72.8775,2024,11000.0,2024,2650.0,0.4086181277860327
Mumbai,India,IN,15414288,19.075833333,72.8775,2024,11000.0,2024,2650.0,0.4086181277860327
Mumbai,India,IN,15414288,19.075833333,72.8775,2024,11000.0,2024,2650.0,0.4086181277860327
Lagos,Nigeria,NG,15070000,6.45,3.4,2024,6210.0,2024,1250.0,0.23068350668647847
Lagos,Nigeria,NG,15070000,6.45,3.4,2024,6210.0,2024,1250.0,0.23068350668647847
Lagos,Nigeria,NG,15070000,6.45,3.4,2024,6210.0,2024,1250.0,0.23068350668647847
Lagos,Nigeria,NG,15070000,6.45,3.4,2024,6210.0,2024,1250.0,0.23068350668647847
Karachi,Pakistan,PK,14910352,24.86,67.01,2024,6140.0,2024,1430.0,0.22808320950965824
Karachi,Pakistan,PK,14910352,24.86,67.01,2024,6140.0,2024,1430.0,0.22808320950965824
Karachi,Pakistan,PK,14910352,24.86,67.01,2024,6140.0,2024,1430.0,0.22808320950965824
Karachi,Pakistan,PK,14910352,24.86,67.01,2024,6140.0,2024,1430.0,0.22808320950965824
Karachi,Pakistan,PK,14910352,24.86,67.01,2024,6140.0,2024,1430.0,0.22808320950965824
Kinshasa,Democratic Republic of the Congo,CD,14565700,-4.321944444,15.311944444,2024,1650.0,2024,640.0,0.0612927191679049
Tokyo,Japan,JP,14264798,35.689444444,139.691666666,2024,55120.0,2024,36030.0,2.0475482912332836
Tokyo,Japan,JP,14264798,35.689444444,139.691666666,2024,55120.0,2024,36030.0,2.0475482912332836
Tokyo,Japan,JP,14264798,35.689444444,139.691666666,2024,55120.0,2024,36030.0,2.0475482912332836
Tokyo,Japan,JP,14264798,35.689444444,139.691666666,2024,55120.0,2024,36030.0,2.0475482912332836
